31556;1090895;SIRIOS CAPITAL PARTNERS II LP;D/A;03.03.2015;edgar/data/1090895/0001090895-15-000002.txt;
32010;1092243;BRUDERMAN BROTHERS LLC;FOCUSN;03.03.2015;edgar/data/1092243/9999999997-15-006705.txt;
32011;1092243;BRUDERMAN BROTHERS LLC;X-17A-5;03.03.2015;edgar/data/1092243/9999999997-15-004860.txt;
32043;1092410;SBERBANK CIB USA, INC;FOCUSN;03.03.2015;edgar/data/1092410/9999999997-15-006316.txt;
32044;1092410;SBERBANK CIB USA, INC;X-17A-5;03.03.2015;edgar/data/1092410/9999999997-15-004257.txt;
32051;1092468;SLS Investors, L.P.;D/A;03.03.2015;edgar/data/1092468/0000919574-15-002568.txt;
32102;1092796;SMITH & WESSON HOLDING CORP;10-Q;03.03.2015;edgar/data/1092796/0001564590-15-001242.txt;
32110;1092796;SMITH & WESSON HOLDING CORP;8-K;03.03.2015;edgar/data/1092796/0001193125-15-075063.txt;
32146;1092839;DUNE ENERGY INC;424B3;03.03.2015;edgar/data/1092839/0001193125-15-073720.txt;
32147;1092839;DUNE ENERGY INC;424B3;03.03.2015;edgar/data/1092839/0001193125-15-073725.txt;
32148;1092839;DUNE ENERGY INC;424B3;03.03.2015;edgar/data/1092839/0001193125-15-073728.txt;
32149;1092839;DUNE ENERGY INC;424B3;03.03.2015;edgar/data/1092839/0001193125-15-073732.txt;
32192;1092914;ATLAS PIPELINE PARTNERS LP;25-NSE;03.03.2015;edgar/data/1092914/0000876661-15-000105.txt;
32193;1092914;ATLAS PIPELINE PARTNERS LP;25-NSE;03.03.2015;edgar/data/1092914/0000876661-15-000107.txt;
32351;1093278;LINCOLN NEW YORK ACCOUNT N FOR VARIABLE ANNUITIES;N-30D;03.03.2015;edgar/data/1093278/0000726865-15-000094.txt;
32440;1093610;EATON VANCE INSTITUTIONAL SENIOR LOAN FUND;D/A;03.03.2015;edgar/data/1093610/0000940394-15-000405.txt;
32485;1093691;PLUG POWER INC;NT 10-K;03.03.2015;edgar/data/1093691/0001104659-15-015994.txt;
32777;1094457;MEEHAN MUTUAL FUNDS INC;497J;03.03.2015;edgar/data/1094457/0000898432-15-000378.txt;
33043;1095146;GAMEPLAN INC;15-12G;03.03.2015;edgar/data/1095146/0001010412-15-000038.txt;
33160;1095315;PFSWEB INC;UPLOAD;03.03.2015;edgar/data/1095315/0000000000-15-013251.txt;
33366;1095996;WILLIAM LYON HOMES;8-K;03.03.2015;edgar/data/1095996/0001193125-15-075311.txt;
33645;1096385;VECTREN CORP;8-K;03.03.2015;edgar/data/1096385/0001096385-15-000014.txt;
33927;1097718;UnifiedOnline, Inc.;8-K;03.03.2015;edgar/data/1097718/0001354488-15-000919.txt;
34034;1098146;PATRIOT NATIONAL BANCORP INC;8-K;03.03.2015;edgar/data/1098146/0001171843-15-001217.txt;
34129;1098881;U.S. RARE EARTHS, INC;S-1/A;03.03.2015;edgar/data/1098881/0001047469-15-001592.txt;
34198;1099219;METLIFE INC;424B2;03.03.2015;edgar/data/1099219/0001193125-15-075324.txt;
34546;1100412;ARRAY BIOPHARMA INC;CT ORDER;03.03.2015;edgar/data/1100412/9999999997-15-001988.txt;
34746;1100663;iSHARES TRUST;497K;03.03.2015;edgar/data/1100663/0001193125-15-073949.txt;
34747;1100663;iSHARES TRUST;497K;03.03.2015;edgar/data/1100663/0001193125-15-073951.txt;
34784;1100663;iSHARES TRUST;CORRESP;03.03.2015;edgar/data/1100663/0001193125-15-075445.txt;
35285;1102358;BLASTGARD INTERNATIONAL INC;SC 13D/A;03.03.2015;edgar/data/1102358/0001354488-15-000906.txt;
35360;1102618;Lincoln Life Variable Annuity Account JF-I;N-30D;03.03.2015;edgar/data/1102618/0000726865-15-000094.txt;
35428;1102934;CABOT MICROELECTRONICS CORP;8-K;03.03.2015;edgar/data/1102934/0001102934-15-000008.txt;
